size	K	T	instance	Obj value	CPLEX time (s)	Optimal path
5	4	30	2	85.0	0.1842338	1 2 3 4 5 10 15 20 25 
5	4	30	3	90.0	0.2563657	1 2 7 8 9 14 15 20 25 
5	4	30	4	91.0	0.1568675	1 2 3 8 9 14 15 20 25 
5	4	30	5	83.0	0.1699315	1 2 3 8 13 18 19 24 25 
5	4	30	6	95.0	0.1429059	1 6 7 12 13 14 19 24 25 
5	4	30	7	84.0	0.1750412	1 2 7 12 13 14 19 20 25 
5	4	30	8	95.0	0.1788157	1 6 7 8 9 10 15 20 25 
5	4	30	9	96.0	0.3057284	1 2 7 8 13 14 19 24 25 
5	4	60	0	175.0	0.3920458	1 6 11 16 17 22 23 24 25 
5	4	60	1	187.0	0.5459148	1 2 7 12 13 14 19 20 25 
5	4	60	2	186.0	0.5591442	1 2 7 8 13 14 19 20 25 
5	4	60	3	184.0	0.5130958	1 2 7 12 13 14 19 20 25 
5	4	60	4	168.0	0.6249252	1 2 7 12 17 22 23 24 25 
5	4	60	5	192.0	0.635086	1 2 7 12 17 18 19 20 25 
5	4	60	6	176.0	0.3888923	1 6 7 12 13 18 19 20 25 
5	4	60	7	190.0	0.4073486	1 2 3 4 9 14 19 24 25 
5	4	60	8	192.0	0.7443387	1 6 11 16 17 18 19 20 25 
5	4	60	9	198.0	0.5173876	1 6 7 8 9 14 19 20 25 
5	4	90	0	279.0	1.107566	1 2 3 4 9 14 19 24 25 
5	4	90	1	285.0	0.491389	1 6 7 8 13 14 19 24 25 
5	4	90	2	262.0	1.0616868	1 6 7 8 13 14 19 24 25 
5	4	90	3	288.0	0.9478602	1 6 7 8 13 18 23 24 25 
5	4	90	4	240.0	0.6428474	1 2 7 8 9 14 19 20 25 
5	4	90	5	257.0	0.7010318	1 6 7 8 9 14 15 20 25 
5	4	90	6	263.0	0.6552271	1 2 7 8 13 18 23 24 25 
5	4	90	7	244.0	0.9127165	1 2 7 8 9 14 19 20 25 
5	4	90	8	254.0	0.8982135	1 6 7 8 9 10 15 20 25 
5	4	90	9	274.0	1.2155406	1 2 7 8 13 14 15 20 25 
5	6	30	0	163.0	0.6372428	1 6 11 12 13 14 19 20 25 
5	6	30	1	148.0	0.8093262	1 6 7 12 17 22 23 24 25 
5	6	30	2	147.0	0.6310111	1 6 11 12 13 18 19 24 25 
5	6	30	3	145.0	0.5159481	1 2 3 8 9 14 15 20 25 
5	6	30	4	151.0	0.5973023	1 6 7 12 17 18 23 24 25 
5	6	30	5	144.0	0.4854303	1 2 3 8 13 18 23 24 25 
5	6	30	6	136.0	0.5074907	1 2 3 8 13 18 23 24 25 
5	6	30	7	142.0	0.7451828	1 2 7 8 13 14 15 20 25 
5	6	30	8	139.0	0.5320746	1 6 7 12 17 22 23 24 25 
5	6	30	9	141.0	0.508408	1 6 11 12 13 14 19 20 25 
5	6	60	0	305.0	1.0529439	1 6 11 16 17 18 19 24 25 
5	6	60	1	295.0	1.8133419	1 2 3 8 13 18 19 24 25 
5	6	60	2	293.0	1.093948	1 2 7 8 13 14 19 24 25 
5	6	60	3	288.0	1.5119416	1 2 7 8 13 14 15 20 25 
5	6	60	4	289.0	0.6263474	1 6 7 8 13 18 19 20 25 
5	6	60	5	297.0	1.4207405	1 6 7 12 17 18 19 20 25 
5	6	60	6	274.0	1.2031427	1 6 7 8 13 18 19 24 25 
5	6	60	7	279.0	0.9130399	1 2 7 12 17 18 19 20 25 
5	6	60	8	279.0	1.3379976	1 6 11 16 17 18 19 24 25 
5	6	60	9	308.0	1.3035828	1 2 7 8 13 18 19 20 25 
5	6	90	0	447.0	3.714228	1 2 7 8 9 14 15 20 25 
5	6	90	1	427.0	2.168483	1 2 7 12 13 18 23 24 25 
5	6	90	2	410.0	2.6801926	1 6 7 8 9 14 15 20 25 
